timestamp,value
95063,CONTROL
595190,CONTROL
1095093,CONTROL
1595116,CONTROL
2095103,CONTROL
2595006,CONTROL
3095130,CONTROL
3595119,CONTROL
4095096,CONTROL
4595212,CONTROL
5095113,CONTROL
5595101,CONTROL
6095103,CONTROL
6595222,CONTROL
7095121,CONTROL
7595141,CONTROL
8095141,CONTROL
8595025,CONTROL
9095128,CONTROL
9595144,CONTROL
10095132,CONTROL
10595169,CONTROL
11095141,CONTROL
11595128,CONTROL
12095134,CONTROL
12595248,CONTROL
13095148,CONTROL
13595166,CONTROL
14095155,CONTROL
14595062,CONTROL
15095159,CONTROL
15595182,CONTROL
16095193,CONTROL
16595260,CONTROL
17095169,CONTROL
17595154,CONTROL
18095154,CONTROL
18595288,CONTROL
19095179,CONTROL
19595207,CONTROL
20095205,CONTROL
20595086,CONTROL
21095288,CONTROL
21595283,CONTROL
22095293,CONTROL
22595298,CONTROL
23095299,CONTROL
23595189,CONTROL
24095295,CONTROL
24595306,CONTROL
25095208,CONTROL
25595309,CONTROL
26095325,CONTROL
26595108,CONTROL
27095242,CONTROL
27595244,CONTROL
28095287,CONTROL
28595344,CONTROL
29095298,CONTROL
29595242,CONTROL
30095205,CONTROL
30595350,CONTROL
31095237,CONTROL
31595335,CONTROL
32095343,CONTROL
32595222,CONTROL
33095291,CONTROL
33595299,CONTROL
34095267,CONTROL
34595344,CONTROL
35095306,CONTROL
35595243,CONTROL
36095259,CONTROL
36595392,CONTROL
37095266,CONTROL
37595375,CONTROL
38095324,CONTROL
38595162,CONTROL
39095288,CONTROL
39595427,CONTROL
40095384,CONTROL
40595422,CONTROL
41095336,CONTROL
41595328,CONTROL
42095304,CONTROL
42595391,CONTROL
43095301,CONTROL
43595346,CONTROL
44095401,CONTROL
44595296,CONTROL
45095425,CONTROL
45595328,CONTROL
46095341,CONTROL
46595435,CONTROL
47095335,CONTROL
47595368,CONTROL
48095330,CONTROL
48595520,CONTROL
49095440,CONTROL
49595448,CONTROL
50095448,CONTROL
50595374,CONTROL
51095436,CONTROL
51595346,CONTROL
52095455,CONTROL
52595437,CONTROL
53095450,CONTROL
53595331,CONTROL
54095346,CONTROL
54595456,CONTROL
55095466,CONTROL
55595496,CONTROL
56095461,CONTROL
56595367,CONTROL
57095461,CONTROL
57595461,CONTROL
58095519,CONTROL
58595542,CONTROL
59095399,CONTROL
59595363,CONTROL
60095370,CONTROL
60595512,CONTROL
61095485,CONTROL
61595500,CONTROL
62095488,CONTROL
62595436,CONTROL
63095453,CONTROL
63595537,CONTROL
64095502,CONTROL
64595515,CONTROL
65095425,CONTROL
65595392,CONTROL
66095399,CONTROL
66595524,CONTROL
67095516,CONTROL
67595511,CONTROL
68095429,CONTROL
68595391,CONTROL
69095422,CONTROL
69595448,CONTROL
70095510,CONTROL
70595532,CONTROL
71095429,CONTROL
71595471,CONTROL
72095435,CONTROL
72595541,CONTROL
73095451,CONTROL
73595535,CONTROL
74095559,CONTROL
74595408,CONTROL
75095451,CONTROL
75595476,CONTROL
76095468,CONTROL
76595573,CONTROL
77095507,CONTROL
77595425,CONTROL
78095446,CONTROL
78595547,CONTROL
79095467,CONTROL
79595542,CONTROL
80095600,CONTROL
80595360,CONTROL
81095569,CONTROL
81595557,CONTROL
82095509,CONTROL
82595588,CONTROL
