timestamp,value
15731017,FALSE
16230997,FALSE
16730988,FALSE
17230992,FALSE
17730985,FALSE
18230985,FALSE
18730992,FALSE
19230985,FALSE
19730985,FALSE
20230994,FALSE
20730997,FALSE
21230986,FALSE
21720122,TRUE
22220012,TRUE
22720006,TRUE
23220005,TRUE
23720012,TRUE
24220000,TRUE
24720011,TRUE
25219996,TRUE
25719992,TRUE
26219985,TRUE
26719996,TRUE
27219988,TRUE
27719990,TRUE
28219992,TRUE
28719990,TRUE
29219992,TRUE
29719995,TRUE
30219989,TRUE
30719995,TRUE
31219986,TRUE
31719986,TRUE
32219991,TRUE
32719987,TRUE
33219992,TRUE
33719992,TRUE
34219984,TRUE
34719997,TRUE
35219988,TRUE
35719985,TRUE
36219993,TRUE
36719987,TRUE
37219995,TRUE
37719988,TRUE
38219993,TRUE
38719991,TRUE
39219989,TRUE
39719997,TRUE
40219986,TRUE
40719991,TRUE
41219987,TRUE
41719996,TRUE
42219995,TRUE
42719996,TRUE
43219998,TRUE
43719994,TRUE
44219993,TRUE
44719992,TRUE
45219985,TRUE
45719992,TRUE
46219995,TRUE
46719989,TRUE
47219987,TRUE
47719992,TRUE
48219995,TRUE
48719991,TRUE
49219984,TRUE
49719993,TRUE
50219991,TRUE
50719998,TRUE
51219999,TRUE
51719988,TRUE
52219993,TRUE
52719987,TRUE
53219996,TRUE
53719989,TRUE
54219985,TRUE
54719992,TRUE
55219988,TRUE
55719988,TRUE
56219988,TRUE
56719990,TRUE
57220005,TRUE
57719999,TRUE
58219987,TRUE
58719987,TRUE
59219997,TRUE
59719991,TRUE
60219995,TRUE
60719987,TRUE
61219991,TRUE
61719998,TRUE
62219996,TRUE
62719984,TRUE
63219986,TRUE
63719997,TRUE
64219985,TRUE
64719987,TRUE
65219991,TRUE
65719996,TRUE
66220002,TRUE
66719995,TRUE
67219995,TRUE
67262669,FALSE
67761997,FALSE
68262008,FALSE
68762009,FALSE
69262005,FALSE
69761989,FALSE
70261996,FALSE
70761996,FALSE
71261993,FALSE
71761985,FALSE
72261986,FALSE
72761986,FALSE
73261990,FALSE
73761991,FALSE
74261988,FALSE
74761994,FALSE
75261988,FALSE
75761993,FALSE
76261992,FALSE
76761993,FALSE
