timestamp,value
9877,0
19739,0
29746,0
49905,0
39884,0
59897,0
70248,0
84685,0
89609,0
99859,0
109645,0
119856,0
139635,0
129857,0
149606,0
159864,0
169650,0
179846,0
189837,0
199627,0
209605,0
219852,0
239849,0
229625,0
249835,0
259634,0
269638,0
279852,0
289644,0
299881,0
309856,0
329641,0
319634,0
339848,0
349641,0
359856,0
369833,0
379624,0
389624,0
399844,0
409628,0
419868,0
430632,0
449627,0
439630,0
461163,0
469816,0
480347,0
490250,0
509746,0
499927,0
519956,0
539867,0
529768,0
549939,0
560750,0
569620,0
579959,0
589665,0
609882,0
599871,0
629638,0
619642,0
639871,0
649647,0
659864,0
669880,0
679630,0
689629,0
699866,0
709649,0
719848,0
729883,0
739625,0
749633,0
759890,0
769677,0
779862,0
789923,0
799657,0
809632,0
819884,0
839862,0
829660,0
849868,0
859677,0
869620,0
879876,0
889670,0
899869,0
910094,0
919646,0
929626,0
939881,0
949895,0
959868,0
979668,0
969870,0
989625,0
999837,0
1009648,0
1019887,0
1029869,0
1039645,0
1049646,0
1059870,0
1069661,0
1079890,0
1099632,0
1089867,0
1109643,0
1119864,0
1129656,0
1139878,0
1149861,0
1159656,0
1169638,0
1179852,0
1189652,0
1199889,0
1209862,0
1219637,0
1229646,0
1239863,0
1249655,0
1269885,0
1279648,0
1309651,0
1259888,0
1289639,0
1299879,0
1319861,0
1329890,0
1339645,0
1349641,0
1359884,0
1369650,0
1379856,0
1389885,0
1399636,0
1409635,0
1419883,0
1439877,0
1429651,0
1449882,0
1459619,0
1469637,0
1479871,0
1489696,0
1499842,0
1509892,0
1519666,0
1529632,0
1539886,0
1549678,0
1563760,0
1569880,0
1579659,0
1589639,0
1619858,0
1599865,0
1609660,0
1639664,0
1629880,0
1649630,0
1669660,0
1659885,0
1679876,0
1689874,0
1699647,0
1709607,0
1719857,0
1729655,0
1739875,0
1749876,0
1759664,0
1769659,0
1789669,0
1779874,0
1809863,0
1799894,0
1819668,0
1829654,0
1839872,0
1849654,0
1859896,0
1889649,0
1869867,0
1879663,0
1899866,0
1909652,0
1919887,0
1929857,0
1939649,0
1949635,0
1959857,0
1979884,0
1969651,0
1989874,0
1999640,0
2009630,0
2029652,0
2019882,0
2039894,0
2049897,0
2059661,0
2069641,0
2079898,0
2089652,0
2099881,0
2109895,0
2119645,0
2129651,0
2139893,0
2149644,0
2159886,0
2179649,0
2169894,0
2189642,0
2199888,0
